universe,config,mode,regime,seconds,dev_n,dev_days,dev_net,dev_exp,dev_pf,dev_win,val_n,val_days,val_net,val_exp,val_pf,val_win,val_ci95,val_p_le0,val_ex_best_trade,val_ex_best_day,val_windows_pos,val_windows_n,val_net_long,val_net_short,val_cost_share,val_maxdd,val_hold_days,val_funding,val_syms_positive,val_syms_n
stocks,"MOM-RS(120,top5)",account,base,0.9,3,3,3.599107637037758,1.1997025456792527,4.100848183039866,0.6666666666666666,2,2,-0.9342361273719073,-0.46711806368595366,0.03706619923248991,0.5,,,-0.9701976674069088,-0.9701976674069088,0,6,-0.9342361273719073,0.0,0.45037733984848294,0.9701976674069088,14.0,-0.0507849728866,1,2
stocks,"MOM-RS(120,top5)",account,adverse,0.9,3,3,3.5255730105077774,1.1751910035025925,4.016549394566238,0.6666666666666666,2,2,-0.9470082885729044,-0.4735041442864522,0.030997674088555097,0.5,,,-0.9773023895295062,-0.9773023895295062,0,6,-0.9470082885729044,0.0,0.9562397636528259,0.9773023895295062,14.0,-0.0507849728866,1,2
stocks,BO(20),portfolio,base,0.9,8,5,-1.7336549173150968,-0.2167068646643871,0.6981936564619211,0.375,33,23,2.5570216083765875,0.07748550328413902,1.08578896112592,0.36363636363636365,"[-0.8855175884914543, 1.2315353930515809]",0.483,-5.371217522673721,-12.431935261512635,0,6,2.5570216083765875,0.0,0.015369574613530156,20.72556679732891,20.03030303030303,-2.4591655980000002,7,24
stocks,BO(20),portfolio,adverse,1.0,8,5,-1.8450874431547886,-0.23063593039434857,0.682512659920772,0.375,33,23,2.122409559755998,0.06431544120472722,1.0705858794743381,0.36363636363636365,"[-0.8982219789512235, 1.2173897201262083]",0.496,-5.787814585698551,-12.81673196733416,0,6,2.122409559755998,0.0,0.0289528314972872,20.897655888209584,20.03030303030303,-2.4591655980000002,7,24
stocks,BO(20),account,base,0.9,2,2,-1.5026755047115876,-0.7513377523557938,0.0,0.0,6,6,2.0326009862135286,0.3387668310355881,1.6513730398005495,0.3333333333333333,"[-0.860192696423609, 1.5854595920775678]",0.354,-0.8490937597944392,-0.8490937597944392,0,6,2.0326009862135286,0.0,0.012938034698297437,3.12048682094044,22.833333333333332,-0.30465253775253,2,6
stocks,BO(20),account,adverse,0.9,2,2,-1.5103893099600736,-0.7551946549800368,0.0,0.0,6,6,1.9014403846608294,0.3169067307768049,1.6052321819680633,0.3333333333333333,"[-0.8637703233531718, 1.5471664493929158]",0.354,-0.9444471792274225,-0.9444471792274225,0,6,1.9014403846608294,0.0,0.024359925722272576,3.1416709839814234,22.833333333333332,-0.30035976380253,2,6
stocks,BO(55),portfolio,base,0.9,8,5,-0.7229539461192385,-0.09036924326490481,0.8703038746722255,0.375,29,25,12.772323985209455,0.4404249650072226,1.5747405837487078,0.4827586206896552,"[-0.5114137197520217, 1.46842426300092]",0.187,3.805181379604484,3.805181379604484,0,6,12.772323985209455,0.0,0.01255454208226635,11.872460649379606,22.724137931034484,-2.555978112,12,23
stocks,BO(55),portfolio,adverse,1.0,8,5,-0.8349070306680169,-0.10436337883350211,0.8520081935838157,0.375,29,25,12.389608295813279,0.4272278722694234,1.552696815823492,0.4827586206896552,"[-0.5247798298771497, 1.4544885483454895]",0.195,3.4410378504111883,3.4410378504111883,0,6,12.389608295813279,0.0,0.023618255601131767,12.006885849004757,22.724137931034484,-2.555978112,12,23
stocks,BO(55),account,base,0.9,1,1,-0.49177233340763804,-0.49177233340763804,0.0,0.0,6,6,3.6294988713089094,0.6049164785514849,2.5360922328833797,0.5,"[-0.5816155030604945, 1.8932292819687564]",0.178,0.7478041253009415,0.7478041253009415,0,6,3.6294988713089094,0.0,0.011145355649308825,2.3628131134391728,20.833333333333332,-0.2726102397,2,5
stocks,BO(55),account,adverse,0.9,1,1,-0.4988462778958772,-0.4988462778958772,0.0,0.0,6,6,3.4981402200360208,0.5830233700060035,2.472254074209425,0.5,"[-0.5865671609151474, 1.85022007097678]",0.178,0.6522526561477688,0.6522526561477688,0,6,3.4981402200360208,0.0,0.020966909828768754,2.376043837348157,20.833333333333332,-0.26831746575,2,5
