symbol,bid,ask,mid,spread_bps,top_depth_usd,slip1k_bps,slip10k_bps,slip50k_bps
kLUNC,0.0579,0.05792,0.05791,3.453634950785561,179.95744,2.8096275714664243,12.773767433657795,
RSR,0.001206,0.001208,0.001207,16.570008285004544,499.999656,12.425795161405212,28.10022532687453,152.42302814767294
GALA,0.002158,0.00216,0.002159,9.263547938859803,409.7200380000001,4.631773969428897,13.672894842131656,72.95096235797799
JTO,0.56305,0.56334,0.563195,5.149193440991157,499.98840000000007,2.613318842147641,10.85641683818758,
ACE,0.068,0.0681,0.06805,14.695077149153414,499.999734,14.68969034742337,25.488992965342568,209.8759569092367
WIF,0.15478,0.15482,0.1548,2.583979328166166,14.86272,2.345566765193485,5.445635978175008,11.364913916210009
CAKE,1.3972,1.3975,1.39735,2.1469209575265107,500.05788,1.0734604787640498,11.442379512032918,
PEOPLE,0.005387,0.005388,0.0053875,1.8561484918795967,43.34646,5.326907011475214,13.525175945939552,
ENS,4.5665,4.5713,4.568899999999999,10.505811026724944,365.841139,5.421061574393879,10.935125864928166,22.658568702164374
ETC,7.0086,7.0155,7.01205,9.840203649431915,386.243946,4.920101824715958,8.504875321834685,
XAI,0.00679,0.0068,0.006795,14.716703458424714,276.10924,18.007313444065172,32.49532145640756,43.067343864324585
MANTA,0.06404,0.06407,0.064055,4.683475138553157,499.998704,2.3417375692765785,11.521391414278929,
UMA,0.36343,0.36379,0.36361,9.90071780204139,499.99297600000006,5.087868912297587,21.341232402790823,
ONDO,0.37585,0.37596,0.375905,2.92627126534627,500.0268,1.6963342671764865,5.915302031555974,
ALT,0.006484,0.006487,0.0064855,4.625703492405414,500.000692,2.583654587264237,16.644072716104493,
ZETA,0.03455,0.03457,0.0345599999999999,5.787037037036803,500.00069,5.548138610898103,17.17235118626879,
DYM,0.01505,0.01507,0.01506,13.280212483400344,797.600848,7.983347185136192,36.03378052151489,
W,0.00942,0.00943,0.009425,10.610079575596384,1442.000412,5.305039787798192,18.26130300131955,184.9832696015513
STRK,0.02773,0.02775,0.02774,7.209805335255654,1293.99915,3.604902667627827,8.129838341089735,16.16206289615593
TAO,193.29,193.3,193.295,0.5173439561302323,110.181,1.4896229274912167,2.9176058813797856,6.068468862354087
AR,1.9252,1.9258,1.9255,3.116073747078337,499.995454,1.903416181562095,9.2039817915101,
kFLOKI,0.021501,0.021515,0.021508,6.509205876883078,150.110155,5.060456887749087,8.80957099737766,
BOME,0.000403,0.000404,0.0004035,24.78314745972799,1944.760656,12.391573729863994,36.10970451674777,183.31973824704303
ETHFI,0.42882,0.42898,0.4288999999999999,3.730473303800269,500.00412,2.0489079168367037,5.809405562195052,
ENA,0.082215,0.082222,0.0822185,0.8513898940028096,500.03163,0.4256949470014048,3.002733284040646,
MNT,0.42877,0.42887,0.42882,2.331980784478079,407.4265,2.5477291424503576,6.270449221411107,15.715376528940231
TNSR,0.03196,0.03201,0.031985,15.632327653585898,499.999401,9.379154324227216,42.70098458622126,
SAGA,0.01241,0.01243,0.01242,16.10305958132119,2593.974189,8.051529790659897,15.214947417103389,
MERL,0.017035,0.017047,0.017041,7.041840267588828,499.9942850000001,3.814318278324088,11.253206347910568,
HBAR,0.065986,0.065987,0.0659865,0.1515461495913558,53.77859,0.192741472841298,2.864541736297968,8.461499699779734
POPCAT,0.043232,0.043253,0.0432425,4.856333468231528,500.00468,2.543791302564413,8.422048587732894,
EIGEN,0.2351,0.2352,0.23515,4.252604720390772,20.4624,6.291852341471201,10.635945990704116,
REZ,0.002414,0.002416,0.002415,8.281573498965903,903.565028,4.140786749482952,20.92119741014169,
NOT,0.000371,0.000372,0.0003715,26.917900403767703,1099.1949,13.45895020188458,41.59354938456627,276.2570779339749
TURBO,0.000827,0.000829,0.000828,24.15458937197996,3854.005248,12.077294685990632,14.888456039446396,68.51026433154921
BRETT,0.00503,0.005033,0.0050314999999999,5.962436649111395,1056.013994,2.98121832455656,18.86756184052406,
IO,0.1505,0.15056,0.15053,3.9859164286191775,499.994704,2.325110404488702,8.905021129580206,
ZK,0.009446,0.009453,0.0094495,7.407799354463266,499.995672,4.233002831650573,10.002705977026956,
RENDER,1.4755,1.476,1.47575,3.3881077418258165,500.04695,2.032806547790783,7.777190174935778,23.49069313470034
POL,0.082453,0.082467,0.08246,1.697792869269964,490.67865,1.09708174101484,4.9025173821948265,
CELO,0.071425,0.071456,0.0714405,4.339275341018505,499.975,3.0211635389254488,18.382575954060904,
HMSTR,0.00018,0.000181,0.0001805,55.401662049861336,4238.5617,27.70083102493142,27.70083102493142,67.79957812388818
kNEIRO,0.06078,0.06082,0.0608,6.578947368420785,664.3132439999999,3.4336954719950152,13.187665344564245,
GOAT,0.013061,0.013068,0.0130645,5.358031306211536,500.001202,3.266826833183195,29.31932772027632,
MOODENG,0.037277,0.037293,0.037285,4.291269947700717,499.987251,2.7466752382683004,10.459525291633298,
GRASS,0.36989,0.36995,0.36992,1.6219723183392216,294.617385,1.026710240799352,9.980536141582816,
