n,mean,median,stdev,share_losers,share_ge_5pct,p10,p90,max,min,split,horizon,group,first_trigger_only
157,0.018178443857482005,0.009551275267223991,0.0844732459077515,0.445859872611465,0.2929936305732484,-0.06360556338942494,0.10998357295148142,0.4087127398938344,-0.17248175340567007,val,5,A_positive,True
187,0.015602548608162231,0.008918094344050775,0.09649764419769052,0.42245989304812837,0.24064171122994651,-0.0680565678691218,0.111756856890058,0.4416,-0.315983606557377,val,5,A_negative,True
344,0.016778175219043637,0.009105407523083642,0.09108567699075155,0.4331395348837209,0.26453488372093026,-0.0661275922340296,0.11221668522152627,0.4416,-0.315983606557377,val,5,A_all,True
3069,0.006141402189720812,-0.0012613932291666297,0.09309572187539666,0.5089605734767025,0.20853698273053112,-0.08983673862782827,0.10886585223915325,0.6445607911576496,-0.27970165157165694,val,5,B_quiet,True
157,0.041564098985172396,0.012532411408815891,0.18883929535649044,0.42038216560509556,0.40764331210191085,-0.15542430924246964,0.24307732813833938,0.9989026133115559,-0.3388741271704876,val,20,A_positive,True
187,0.04986390705659337,0.027111751249682348,0.19136769945786597,0.4385026737967914,0.4117647058823529,-0.12223789523462386,0.24468933360628037,0.9557142857142857,-0.34918032786885234,val,20,A_negative,True
344,0.046075913256555315,0.018878875471016854,0.18998618743928558,0.43023255813953487,0.40988372093023256,-0.140795437600649,0.24660420486520673,0.9989026133115559,-0.34918032786885234,val,20,A_all,True
3069,0.021797439539465717,-0.0023847376788552754,0.20968276498934754,0.5096122515477354,0.33235581622678395,-0.17336260548773097,0.21577359238512356,2.520766773162939,-0.5138935386675594,val,20,B_quiet,True
157,0.21838712969299345,0.10695829828145675,0.44665385516064565,0.3503184713375796,0.5668789808917197,-0.21166387014487165,0.834787743293299,1.9946354363430299,-0.5327426810477658,val,60,A_positive,True
187,0.20856764900767544,0.10164765525982267,0.49308164209622524,0.35294117647058826,0.5775401069518716,-0.21332234266579647,0.7431602953530183,3.2049794084612504,-0.43467346856148026,val,60,A_negative,True
344,0.21304921432045143,0.10430297677063971,0.47180648199603625,0.35174418604651164,0.5726744186046512,-0.21219018219553237,0.7968219221305468,3.2049794084612504,-0.5327426810477658,val,60,A_all,True
3069,0.19058469281401844,0.06005841548010227,0.4993151065329858,0.38742261322906485,0.5144998370804822,-0.26076959398363997,0.8162973621044938,3.9680948040109385,-0.5976482617586911,val,60,B_quiet,True
620,0.014453233266419872,0.011534519016169753,0.09365575387114151,0.4338709677419355,0.28225806451612906,-0.09047249771742845,0.11495857498646926,0.46960486322188455,-0.4465956760245241,val,5,A_positive,False
573,0.006112953017899421,0.0030513176144244536,0.08857479354466141,0.47643979057591623,0.2198952879581152,-0.08333371487823098,0.09394529979310128,0.4416,-0.32708688245315165,val,5,A_negative,False
1193,0.010447381981925139,0.006462838677603999,0.09130776875819155,0.4543168482816429,0.25230511316010057,-0.0883179880857617,0.10713707937012788,0.46960486322188455,-0.4465956760245241,val,5,A_all,False
3069,0.006141402189720812,-0.0012613932291666297,0.09309572187539666,0.5089605734767025,0.20853698273053112,-0.08983673862782827,0.10886585223915325,0.6445607911576496,-0.27970165157165694,val,5,B_quiet,False
620,0.05075814320114552,0.02222183880224826,0.211103952411536,0.4258064516129032,0.4338709677419355,-0.15738826090244365,0.27215266410993433,1.0206422018348622,-0.5842735042735043,val,20,A_positive,False
573,0.03323988253261434,0.005039554644008071,0.1843056470944844,0.4816753926701571,0.3368237347294939,-0.13682700569441944,0.21234201850785467,1.0288672108301813,-0.34918032786885234,val,20,A_negative,False
1193,0.042344091765212276,0.01437378432730041,0.19879475473451128,0.4526404023470243,0.38725901089689857,-0.1497787747338261,0.24521612406426796,1.0288672108301813,-0.5842735042735043,val,20,A_all,False
3069,0.021797439539465717,-0.0023847376788552754,0.20968276498934754,0.5096122515477354,0.33235581622678395,-0.17336260548773097,0.21577359238512356,2.520766773162939,-0.5138935386675594,val,20,B_quiet,False
620,0.22569019469128143,0.11767567520344191,0.44009896801118137,0.31290322580645163,0.6096774193548387,-0.19449187940528237,0.8388631095172369,2.3915326902465166,-0.5674767321613237,val,60,A_positive,False
573,0.19602759183474924,0.08196530445919215,0.5161521754822299,0.39092495636998253,0.5392670157068062,-0.25217208038871675,0.7164644155709848,4.56107746920025,-0.5577646426652338,val,60,A_negative,False
1193,0.21144319432515155,0.10801393728222997,0.4781664196783598,0.3503772003352892,0.575859178541492,-0.2246598017059389,0.7754276442968255,4.56107746920025,-0.5674767321613237,val,60,A_all,False
3069,0.19058469281401844,0.06005841548010227,0.4993151065329858,0.38742261322906485,0.5144998370804822,-0.26076959398363997,0.8162973621044938,3.9680948040109385,-0.5976482617586911,val,60,B_quiet,False
