symbol,type,n_snapshots,first_snapshot,vol24h_median_30d,vol24h_p10_30d,vol24h_median_90d,days_vol_below_1m_30d,oi_usd_median_30d,impact_half_spread_bps_snapshot,fixture_vol24h,price_obs_total,price_obs_insession,insession_days,first_price_obs,max_leverage,sz_decimals,growth_mode,only_isolated,oi_cap,last_mid,est_cost_bps_per_side_150usd,min_order_units_ok,eligible,selected
xyz:SMH,etf,103,2026-06-12,591663.8300000001,201233.79900000003,740628.54,25,3039076.50797,4.377765026008089,447050.1963400001,9467,1799,72,2026-06-12,20,3,enabled,True,25000000.0,592.665,6.2777650260080895,True,False,False
xyz:ASML,stock,124,2026-05-22,558276.3400000001,133805.22400000002,673897.165,28,2463648.3204,3.2430151601917534,402400.6448999998,11293,2162,86,2026-05-23,10,3,enabled,True,25000000.0,1709.55,5.143015160191753,True,False,False
xyz:OURA,stock,2,2026-09-23,529230.065,105846.01299999999,529230.065,1,133036.49039999998,,,183,52,2,2026-09-23,5,1,enabled,True,25000000.0,49.838,103.85648507336765,True,False,False
xyz:GME,stock,139,2026-05-01,526496.175,113440.13500000001,432272.365,20,2423540.1955399998,4.078497841574098,436326.31405,12138,2299,92,2026-05-01,10,2,enabled,True,25000000.0,24.3715,5.978497841574098,True,False,False
xyz:EWJ,etf,139,2026-05-01,512615.11,193611.328,623064.74,28,1367371.4964,3.236280293706074,424754.1643869999,12138,2299,92,2026-05-01,20,3,enabled,True,25000000.0,95.26,5.136280293706074,True,False,False
xyz:NOK,stock,104,2026-06-11,431844.605,74308.23600000002,835290.2250000001,22,3895648.9650419997,2.422896370702878,456007.2771640001,9595,1835,74,2026-06-10,10,2,enabled,True,25000000.0,10.27,4.322896370702878,True,False,False
xyz:NOW,stock,111,2026-06-04,378472.925,57010.32200000001,553907.12,27,1688751.6236,9.260124330734119,669008.0314000001,10191,1954,78,2026-06-04,10,2,enabled,True,25000000.0,140.045,11.160124330734119,True,False,False
xyz:XLE,etf,139,2026-05-01,356401.27,63284.55200000001,378468.125,25,1799732.2941100001,5.266556978764644,511318.2532999998,12138,2299,92,2026-05-01,20,2,enabled,True,25000000.0,63.3535,7.166556978764644,True,False,False
xyz:CRWD,stock,42,2026-08-14,349765.16500000004,38900.043000000005,349765.16500000004,19,919318.2939,4.654333466538339,1951472.9222,3994,771,30,2026-08-14,10,2,enabled,True,25000000.0,260.74,6.554333466538339,True,False,False
xyz:QNT,stock,118,2026-05-28,271861.67500000005,73532.414,690065.0549999999,30,1193329.2285000002,21.034666890031012,799819.4630800001,10927,2089,84,2026-05-27,10,2,enabled,True,20000000.0,47.6765,22.93466689003101,True,False,False
xyz:BMNR,stock,21,2026-09-04,269951.26,40728.59,269951.26,17,323327.97952,,,2041,390,15,2026-09-04,10,2,,True,25000000.0,27.813,103.85648507336765,True,False,False
xyz:IBM,stock,114,2026-06-01,247309.85,124684.27400000002,525379.595,30,2586459.0976,4.234108459491115,157795.3485,10520,2032,81,2026-06-01,10,2,enabled,True,50000000.0,227.145,6.134108459491116,True,False,False
xyz:TLT,stock,8,2026-09-17,239103.005,16518.180000000004,239103.005,8,366604.5498299999,,,788,156,6,2026-09-17,20,2,enabled,True,25000000.0,79.878,103.85648507336765,True,False,False
