asset,ref,theta,H,delay,fee,n_all,mean_all,t_all,win_all,total_all,sr_all,skew_all,kurt_all,n_dev,mean_dev,t_dev,win_dev,total_dev,sr_dev,skew_dev,kurt_dev,n_val,mean_val,t_val,win_val,total_val,sr_val,skew_val,kurt_val,gross_mean_all,hold_min_mean
wti,ok,8,12,0,zero,1353,-0.9873838072943546,-0.5924337687612947,0.49741315594974134,-1335.9302912692617,-0.016106119130418897,0.7191476353429798,13.211404896588434,934,-2.406096785323705,-1.1563594581163712,0.4817987152034261,-2247.2943974923405,-0.03783723730887729,0.6622461220971746,12.699142718661257,419,2.1750933322746504,0.7976621668429191,0.5322195704057279,911.3641062230786,0.038968346876199676,0.9479740730720743,14.446958685871177,0.012616192705644938,76.136597662306
wti,ok,8,36,1,hip3_standard,472,-20.87021811185318,-4.97431363333585,0.3622881355932203,-9850.742948794701,-0.22896134361572854,-0.1950669382464858,8.607974816732286,373,-22.485286950478685,-4.572897022262847,0.3672922252010724,-8387.01203252855,-0.2367756326236808,-0.45849560945760554,7.608543753978825,99,-14.785160770365147,-1.9567145341523229,0.3434343434343434,-1463.7309162661495,-0.19665721004903974,1.990761014004676,15.032547818850233,-1.870218111853176,183.73438927856637
wti,ok,8,36,1,hip3_growth,472,-4.670218111853178,-1.1131234709640732,0.4639830508474576,-2204.3429487946996,-0.05123566069782035,-0.19506693824648644,8.607974816732286,373,-6.285286950478687,-1.2782567571057675,0.46648793565683644,-2344.4120325285503,-0.06618562605843349,-0.45849560945760554,7.6085437539788225,99,1.4148392296348564,0.1872442597759475,0.45454545454545453,140.0690837338508,0.018818756176504664,1.9907610140046759,15.032547818850231,-1.870218111853176,183.73438927856637
wti,ok,8,36,1,zero,472,-2.870218111853176,-0.6841023418116531,0.4788135593220339,-1354.742948794699,-0.03148836259583054,-0.19506693824648644,8.607974816732286,373,-4.485286950478687,-0.9121856165327588,0.4745308310991957,-1673.0120325285502,-0.047231180884517124,-0.4584956094576054,7.608543753978825,99,3.2148392296348582,0.42546190354575547,0.494949494949495,318.26908373385095,0.04276053020156517,1.9907610140046759,15.032547818850233,-1.870218111853176,183.73438927856637
wti,ok,8,36,0,hip3_standard,610,-20.332458264499536,-5.351081575454219,0.3721311475409836,-12402.799541344717,-0.21665896003296653,0.02558472821349538,7.821971252439885,401,-22.893817214295073,-4.690661256450372,0.3765586034912718,-9180.420702932324,-0.2342404450381749,0.0002908248713170095,7.252165104464276,209,-15.418080566566472,-2.5948281290458386,0.36363636363636365,-3222.3788384123927,-0.1794880148107552,0.1480585800562871,9.234066876348813,-1.3324582644995375,189.94532265603823
wti,ok,8,36,0,hip3_growth,610,-4.132458264499537,-1.0875773599450338,0.5049180327868853,-2520.7995413447175,-0.04403472016609818,0.025584728213494976,7.821971252439883,401,-6.693817214295076,-1.3714807264753146,0.5087281795511222,-2684.2207029323254,-0.0684884791646553,0.0002908248713163703,7.252165104464275,209,0.7819194334335251,0.13159527424708042,0.49760765550239233,163.42116158760675,0.00910263545731283,0.1480585800562871,9.234066876348813,-1.3324582644995375,189.94532265603823
wti,ok,8,36,0,zero,610,-2.3324582644995373,-0.6138546693329022,0.519672131147541,-1422.7995413447177,-0.024854249069779483,0.025584728213495642,7.821971252439883,401,-4.893817214295073,-1.0026828898114184,0.5211970074812967,-1962.4207029323243,-0.05007159406759752,0.0002908248713170095,7.252165104464276,209,2.581919433433526,0.43453120794629385,0.5167464114832536,539.6211615876069,0.030057152153764845,0.14805858005628744,9.234066876348813,-1.3324582644995375,189.94532265603823
wti,avg,1,6,1,hip3_standard,1923,-19.878961374831754,-17.563264706222327,0.23712948517940718,-38227.242723801464,-0.40051206637234604,0.01914143361130585,18.867889656767883,1338,-20.428215602483235,-14.47295564287958,0.2428998505231689,-27332.95247612257,-0.3956664025705732,-0.2105152448279075,16.863279129905656,585,-18.622718372100667,-10.064924927153907,0.22393162393162394,-10894.29024767889,-0.41613343066661446,0.8544147854565012,25.469354180927457,-0.8789613748317529,42.77300651488993
wti,avg,1,6,1,hip3_growth,1923,-3.6789613748317525,-3.25039981977854,0.4300572022880915,-7074.64272380146,-0.07412200238003547,0.019141433611305658,18.867889656767883,1338,-4.228215602483237,-2.9956006953359386,0.429745889387145,-5657.352476122571,-0.08189471313999384,-0.21051524482790773,16.863279129905656,585,-2.422718372100667,-1.3093941522179147,0.4307692307692308,-1417.2902476788902,-0.05413678538100356,0.8544147854565008,25.469354180927457,-0.8789613748317529,42.77300651488993
wti,avg,1,6,1,zero,1923,-1.8789613748317529,-1.660081499062564,0.4628185127405096,-3613.2427238014607,-0.03785643971422319,0.019141433611305755,18.867889656767883,1338,-2.4282156024832364,-1.7203390344977556,0.45590433482810166,-3248.9524761225703,-0.04703119209215168,-0.21051524482790734,16.863279129905653,585,-0.6227183721006677,-0.33655739944724933,0.47863247863247865,-364.29024767889064,-0.013914935904824595,0.8544147854565012,25.469354180927457,-0.8789613748317529,42.77300651488993
wti,avg,1,6,0,hip3_standard,2905,-19.868675716583432,-21.926973301121713,0.2216867469879518,-57718.50295667487,-0.40682311369207513,0.18639370570227393,23.71730047251297,1689,-20.615461937120784,-17.123907155999056,0.2285375962107756,-34819.51521179701,-0.4166659772313602,-0.2749848124584867,21.560065675518697,1216,-18.831404395458765,-13.698256558871424,0.21217105263157895,-22898.98774487786,-0.3928244476500904,0.8954990781790888,26.990741108658877,-0.8686757165834318,42.54903826756167
wti,avg,1,6,0,hip3_growth,2905,-3.668675716583431,-4.048732569572142,0.44819277108433736,-10657.502956674867,-0.07511834706231862,0.18639370570227412,23.71730047251297,1689,-4.415461937120785,-3.6676335700224416,0.4428656009473061,-7457.715211797005,-0.08924237393126562,-0.27498481245848705,21.560065675518704,1216,-2.6314043954587687,-1.9141244998078135,0.4555921052631579,-3199.7877448778627,-0.05489128460537893,0.8954990781790886,26.990741108658877,-0.8686757165834318,42.54903826756167
wti,avg,1,6,0,zero,2905,-1.8686757165834316,-2.062261377177746,0.4781411359724613,-5428.502956674869,-0.03826226188123458,0.1863937057022739,23.71730047251297,1689,-2.6154619371207843,-2.1724920604694837,0.46714031971580816,-4417.515211797005,-0.05286197356458843,-0.2749848124584867,21.560065675518697,1216,-0.8314043954587692,-0.6047764932451903,0.4934210526315789,-1010.9877448778633,-0.01734315537818877,0.8954990781790891,26.990741108658877,-0.8686757165834318,42.54903826756167
wti,avg,1,12,1,hip3_standard,1333,-21.12043120873686,-11.930776657993734,0.2873218304576144,-28153.534801246235,-0.3267786250883766,-0.009545743314003237,13.093331175517038,927,-21.15786068552574,-9.442187352576209,0.3063646170442287,-19613.33685548236,-0.31012212161353114,-0.06631177191001217,11.485711018343006,406,-21.034970309763235,-7.616762839572957,0.2438423645320197,-8540.197945763874,-0.3780135926684608,0.23271114942327084,19.08361706248243,-2.120431208736859,70.85275206326583
wti,avg,1,12,1,hip3_growth,1333,-4.920431208736859,-2.7795154953170353,0.4433608402100525,-6558.934801246232,-0.07612968359130068,-0.009545743314003362,13.093331175517038,927,-4.9578606855257386,-2.2125606249374314,0.4519956850053937,-4595.9368554823595,-0.07267002544881122,-0.06631177191001254,11.485711018343,406,-4.834970309763234,-1.7507427699458287,0.4236453201970443,-1962.997945763873,-0.0868879047759166,0.23271114942326998,19.083617062482418,-2.120431208736859,70.85275206326583
wti,avg,1,12,1,zero,1333,-3.120431208736859,-1.762708699464069,0.4703675918979745,-4159.534801246233,-0.04827980120273671,-0.009545743314003343,13.093331175517038,927,-3.1578606855257396,-1.4092687663109011,0.47680690399137,-2927.3368554823605,-0.046286459208286806,-0.06631177191001227,11.485711018343006,406,-3.0349703097632332,-1.0989627622094809,0.45566502463054187,-1232.1979457638727,-0.05454060612118945,0.23271114942327084,19.08361706248243,-2.120431208736859,70.85275206326583
wti,avg,1,12,0,hip3_standard,1972,-20.435488489816613,-14.568886257220436,0.2672413793103448,-40298.78330191836,-0.32807481860136367,-0.06312765964454616,16.874733613145356,1099,-23.06395931878306,-11.736263195339575,0.2747952684258417,-25347.291291342583,-0.3540226055899294,-0.8573120989078395,16.40248255911221,873,-17.1265658769482,-8.670824651768399,0.25773195876288657,-14951.492010575777,-0.29346295195730304,1.3702047575845495,16.82900815042442,-1.4354884898166134,68.79013018957065
wti,avg,1,12,0,hip3_growth,1972,-4.235488489816612,-3.0195681440477435,0.4594320486815416,-8352.38330191836,-0.06799725480881903,-0.06312765964454678,16.87473361314536,1099,-6.86395931878306,-3.492775547073425,0.4394904458598726,-7543.491291342583,-0.10535904651548228,-0.8573120989078395,16.40248255911221,873,-0.9265658769481987,-0.4691010623526968,0.4845360824742268,-808.8920105757775,-0.015876665490663914,1.3702047575845493,16.82900815042442,-1.4354884898166134,68.79013018957065
wti,avg,1,12,0,zero,1972,-2.4354884898166134,-1.7363105759174453,0.47971602434077076,-4802.783301918362,-0.03909974772075854,-0.06312765964454616,16.874733613145356,1099,-5.06395931878306,-2.576832475043853,0.45950864422202004,-5565.2912913425835,-0.07772976217387706,-0.8573120989078395,16.40248255911221,873,0.8734341230518011,0.44220155869349226,0.5051546391752577,762.5079894242224,0.014966255227851544,1.3702047575845495,16.82900815042442,-1.4354884898166134,68.79013018957065
wti,avg,1,36,1,hip3_standard,766,-21.102978589242067,-6.356219799536417,0.31462140992167104,-16164.881599359423,-0.22965955658787504,0.10453435894635936,14.268483130129036,509,-21.34231800679014,-4.796367265665902,0.3379174852652259,-10863.239865456182,-0.21259524132697571,-0.0055128966365292,13.319422379596547,257,-20.628956163047633,-4.571878692654672,0.26848249027237353,-5301.641733903241,-0.28518595735718577,0.6887572646219547,13.055530840044593,-2.1029785892420665,142.16106426433856
wti,avg,1,36,1,hip3_growth,766,-4.902978589242068,-1.476777766411166,0.4621409921671018,-3755.6815993594237,-0.053358149609231076,0.10453435894635901,14.268483130129036,509,-5.1423180067901395,-1.1556591814237545,0.4675834970530452,-2617.439865456181,-0.0512236926319712,-0.005512896636529606,13.31942237959655,257,-4.4289561630476335,-0.98156446465334,0.45136186770428016,-1138.2417339032418,-0.061228309055902624,0.6887572646219549,13.05553084004459,-2.1029785892420665,142.16106426433856
wti,avg,1,36,1,zero,766,-3.1029785892420665,-0.93461754050836,0.4751958224543081,-2376.881599359423,-0.033769104389381736,0.10453435894635915,14.268483130129036,509,-3.342318006790139,-0.7511360609524047,0.4774066797642436,-1701.2398654561807,-0.03329352055474847,-0.005512896636529316,13.31942237959655,257,-2.6289561630476337,-0.5826406615420808,0.4708171206225681,-675.6417339032419,-0.036344125911315604,0.6887572646219547,13.055530840044593,-2.1029785892420665,142.16106426433856
wti,avg,1,36,0,hip3_standard,1139,-19.757688349577155,-7.51902215729741,0.30816505706760317,-22504.00703016838,-0.22279195404366148,-0.5170578348941084,15.205617315530771,585,-23.233561387396634,-5.7694967012033755,0.31794871794871793,-13591.63341162703,-0.23853933068235816,-0.2603642750210732,12.450308539966217,554,-16.087317000977173,-4.832513287211583,0.29783393501805056,-8912.373618541353,-0.20531381576547986,-0.9385264683087895,20.047568985567896,-0.7576883495771581,145.45297847373428
wti,avg,1,36,0,hip3_growth,1139,-3.5576883495771585,-1.353920410927122,0.4925373134328358,-4052.2070301683834,-0.040117260949590165,-0.5170578348941088,15.205617315530771,585,-7.033561387396635,-1.746615964107404,0.48376068376068376,-4114.633411627032,-0.07221368251244543,-0.26036427502107384,12.450308539966217,554,0.11268299902282986,0.033849155206402574,0.5018050541516246,62.42638145864774,0.001438112800280479,-0.9385264683087889,20.047568985567892,-0.7576883495771581,145.45297847373428
wti,avg,1,36,0,zero,1139,-1.7576883495771582,-0.6689091057748673,0.5162423178226514,-2002.0070301683832,-0.01982007282802668,-0.5170578348941084,15.205617315530771,585,-5.2335613873966365,-1.2996292155411853,0.505982905982906,-3061.6334116270323,-0.053733054938010706,-0.26036427502107307,12.45030853996622,554,1.9126829990228298,0.5745560932528453,0.5270758122743683,1059.6263814586478,0.024410549307587178,-0.9385264683087895,20.047568985567896,-0.7576883495771581,145.45297847373428
wti,avg,2,6,1,hip3_standard,1786,-19.671780164114683,-17.63785380567806,0.24300111982082867,-35133.79937310882,-0.4173544142504416,0.15397420405555678,15.57490047896549,1260,-20.60816359808686,-15.242450977349213,0.24603174603174602,-25966.286133589445,-0.42940740986658404,-0.05137873889268542,11.609381613214063,526,-17.42873239452352,-8.886892430882863,0.23574144486692014,-9167.513239519372,-0.38748692380263466,0.7734232763319302,27.63163922089212,-0.6717801641146787,41.579355239473685
wti,avg,2,6,1,hip3_growth,1786,-3.4717801641146786,-3.1128220460602893,0.43449048152295633,-6200.599373108816,-0.07365692198226095,0.15397420405555626,15.574900478965487,1260,-4.408163598086859,-3.2604175148440633,0.4253968253968254,-5554.286133589443,-0.09185185782872787,-0.05137873889268578,11.609381613214055,526,-1.2287323945235231,-0.626529363656008,0.45627376425855515,-646.3132395193732,-0.027317978436582777,0.7734232763319303,27.63163922089212,-0.6717801641146787,41.579355239473685
wti,avg,2,6,1,zero,1786,-1.6717801641146788,-1.498929628324982,0.4708846584546473,-2985.7993731088163,-0.03546831173024089,0.15397420405555626,15.574900478965487,1260,-2.60816359808686,-1.9290804634546033,0.45555555555555555,-3286.286133589443,-0.05434568538007722,-0.05137873889268578,11.609381613214055,526,0.5712676054764764,0.2912887549247536,0.5076045627376425,300.4867604806266,0.012700793270756317,0.7734232763319305,27.631639220892122,-0.6717801641146787,41.579355239473685
wti,avg,2,6,0,hip3_standard,2654,-19.94380422009259,-21.697526772491383,0.22343632253202714,-52930.85640012573,-0.42117227403652635,0.4670541394894045,21.963425769281702,1583,-20.27646808907114,-17.116254172863954,0.23499684144030322,-32097.648984999614,-0.430197883708464,0.13127142467717176,16.474686077616518,1071,-19.452107763889927,-13.347292432061192,0.20634920634920634,-20833.20741512611,-0.40784809706221714,0.9456032072145711,29.67124975035404,-0.9438042200925868,42.08765079610022
wti,avg,2,6,0,hip3_growth,2654,-3.7438042200925863,-4.073008910435845,0.4446119065561417,-9936.056400125724,-0.07906147290271676,0.46705413948940416,21.963425769281713,1583,-4.076468089071137,-3.4411251325233594,0.4409349336702464,-6453.04898499961,-0.0864888272069786,0.13127142467717098,16.474686077616525,1071,-3.2521077638899283,-2.231471975792469,0.450046685340803,-3483.0074151261133,-0.06818623354565098,0.9456032072145714,29.67124975035405,-0.9438042200925868,42.08765079610022
wti,avg,2,6,0,zero,2654,-1.943804220092587,-2.11472914798523,0.474378296910324,-5158.8564001257255,-0.04104916166562683,0.46705413948940416,21.963425769281713,1583,-2.276468089071138,-1.9216663502632945,0.4668351231838282,-3603.6489849996115,-0.048298932040146916,0.1312714246771718,16.474686077616525,1071,-1.4521077638899293,-0.9963808139848339,0.48552754435107376,-1555.2074151261143,-0.030446026488254768,0.9456032072145711,29.67124975035404,-0.9438042200925868,42.08765079610022
wti,avg,2,12,1,hip3_standard,1235,-21.115945740479095,-11.612955971011925,0.28663967611336033,-26078.192989491683,-0.3304526969580539,0.29920429708694407,11.597516817373053,865,-21.54462395548542,-9.450878158443935,0.2971098265895954,-18636.099721494887,-0.3213394977166324,0.3266654695176942,9.642397246587336,370,-20.11376558918054,-6.917479049029132,0.26216216216216215,-7442.0932679968,-0.3596226114774066,0.19863556504724886,19.535228468183696,-2.1159457404790967,71.0824179602294
wti,avg,2,12,1,hip3_growth,1235,-4.915945740479097,-2.7035806087827208,0.4477732793522267,-6071.192989491685,-0.0769317911689196,0.29920429708694396,11.597516817373053,865,-5.344623955485415,-2.3445008792150563,0.44739884393063584,-4623.099721494884,-0.07971542139182669,0.326665469517694,9.642397246587336,370,-3.9137655891805383,-1.3460130747735601,0.4486486486486487,-1448.093267996799,-0.06997588769000158,0.19863556504724775,19.53522846818369,-2.1159457404790967,71.0824179602294
wti,avg,2,12,1,zero,1235,-3.1159457404790967,-1.7136500129794754,0.4720647773279352,-3848.1929894916843,-0.04876280163679356,0.29920429708694407,11.597516817373053,865,-3.544623955485417,-1.5549034037451823,0.4658959537572254,-3066.0997214948857,-0.05286830180018166,0.326665469517694,9.642397246587336,370,-2.113765589180538,-0.7269612998562744,0.4864864864864865,-782.093267996799,-0.03779291838028991,0.19863556504724886,19.535228468183696,-2.1159457404790967,71.0824179602294
wti,avg,2,12,0,hip3_standard,1780,-20.817529858236583,-14.303744269562424,0.2702247191011236,-37055.203147661116,-0.3390312538450257,0.18271295735329876,14.552019355339256,1017,-22.648854289669686,-11.552253982925032,0.27925270403146507,-23033.88481259407,-0.3622482132868369,-0.36699009153106976,12.69996763140132,763,-18.376564004019716,-8.483977651312198,0.2581913499344692,-14021.318335067042,-0.30714061309057206,1.031010785100324,17.26121757086235,-1.817529858236581,73.5065838496442
wti,avg,2,12,0,hip3_growth,1780,-4.61752985823658,-3.172709091763478,0.4606741573033708,-8219.203147661112,-0.07520041754067171,0.1827129573532989,14.55201935533926,1017,-6.448854289669686,-3.2892967432405302,0.4503441494591937,-6558.484812594071,-0.10314366962241898,-0.36699009153107,12.699967631401318,763,-2.176564004019714,-1.0048625174278818,0.4744429882044561,-1660.7183350670416,-0.0363784656630725,1.031010785100324,17.26121757086235,-1.817529858236581,73.5065838496442
wti,avg,2,12,0,zero,1780,-2.817529858236581,-1.9359274053413735,0.47808988764044946,-5015.203147661114,-0.04588588017352129,0.18271295735329876,14.552019355339256,1017,-4.648854289669687,-2.3711903832755863,0.46509341199606685,-4727.884812594072,-0.07435427588192814,-0.3669900915310692,12.699967631401321,763,-0.3765640040197147,-0.1738497247740693,0.4954128440366973,-287.3183350670423,-0.006293782615572563,1.031010785100324,17.26121757086235,-1.817529858236581,73.5065838496442
wti,avg,2,36,1,hip3_standard,697,-21.345843686851428,-6.166444974358685,0.3170731707317073,-14878.053049735445,-0.23357075868761362,-0.03421085240799568,11.06997761405143,467,-21.958498730255663,-4.728678082492016,0.3340471092077088,-10254.618907029395,-0.21881712568298567,-0.13668318230351256,9.705778360384254,230,-20.10188757698282,-4.3598348406597225,0.2826086956521739,-4623.434142706048,-0.2874789961161654,0.6474792452639395,14.411670936378503,-2.3458436868514263,148.17422856681014
wti,avg,2,36,1,hip3_growth,697,-5.145843686851426,-1.4865452219706023,0.45911047345767575,-3586.653049735444,-0.05630691537229376,-0.034210852407995845,11.06997761405143,467,-5.758498730255666,-1.2400705106628678,0.4539614561027837,-2689.218907029396,-0.057383619703813726,-0.13668318230351262,9.705778360384256,230,-3.901887576982818,-0.8462680600176942,0.46956521739130436,-897.4341427060481,-0.05580126340342015,0.6474792452639396,14.41167093637851,-2.3458436868514263,148.17422856681014
wti,avg,2,36,1,zero,697,-3.345843686851426,-0.966556360594149,0.46915351506456243,-2332.053049735444,-0.03661093278170267,-0.034210852407995845,11.06997761405143,467,-3.9584987302556662,-0.8524474471262957,0.4625267665952891,-1848.618907029396,-0.039446563483905725,-0.13668318230351262,9.705778360384256,230,-2.101887576982818,-0.45587175105746874,0.4826086956521739,-483.4341427060482,-0.030059293102004014,0.6474792452639396,14.41167093637851,-2.3458436868514263,148.17422856681014
wti,avg,2,36,0,hip3_standard,1001,-18.601254082072717,-6.6711788746074445,0.3126873126873127,-18619.85533615479,-0.21085579766655468,-0.021455286293987925,10.25897949045988,525,-21.318886557605666,-5.113484690136646,0.3314285714285714,-11192.415442742975,-0.22317076816713324,-0.29716653023843437,8.683100002643629,476,-15.603865322293734,-4.289088483235518,0.2920168067226891,-7427.439893411817,-0.1965900483101505,0.5603796398962102,12.709687480729789,0.398745917927281,157.11299397600732
wti,avg,2,36,0,hip3_growth,1001,-2.401254082072719,-0.8611890055481364,0.4805194805194805,-2403.6553361547917,-0.027219581144450194,-0.021455286293988185,10.25897949045988,525,-5.118886557605666,-1.2278008972060792,0.49523809523809526,-2687.415442742975,-0.05358562428363382,-0.2971665302384345,8.683100002643629,476,0.5961346777062656,0.1638616027372509,0.4642857142857143,283.76010658818245,0.007510584247493586,0.5603796398962096,12.709687480729789,0.398745917927281,157.11299397600732
wti,avg,2,36,0,zero,1001,-0.6012540820727188,-0.21563457565265745,0.5004995004995005,-601.8553361547915,-0.006815557086438579,-0.021455286293987925,10.25897949045988,525,-3.318886557605665,-0.7960582535471269,0.5123809523809524,-1742.4154427429742,-0.034742830518800547,-0.2971665302384345,8.683100002643629,476,2.3961346777062666,0.6586338345120033,0.48739495798319327,1140.5601065881829,0.030188432309454054,0.5603796398962103,12.709687480729789,0.398745917927281,157.11299397600732
wti,avg,3,6,1,hip3_standard,1654,-20.89724457304382,-17.464972237460405,0.23216444981862153,-34564.04252381448,-0.42943767909544445,0.0798414160091539,17.01491630741059,1194,-21.388223487078093,-14.929523257488169,0.2370184254606365,-25537.538843571245,-0.4320597164429519,-0.047408344572557784,13.850165569780732,460,-19.6228340874853,-9.0633069843056,0.21956521739130436,-9026.503680243237,-0.42257886707114956,0.4918965839009352,27.39121250179776,-1.8972445730438232,44.14991005063482
wti,avg,3,6,1,hip3_growth,1654,-4.6972445730438235,-3.9257446489665435,0.43349455864570735,-7769.242523814483,-0.09652821933249722,0.07984141600915327,17.014916307410584,1194,-5.188223487078095,-3.621511775495315,0.4288107202680067,-6194.7388435712455,-0.10480638422466096,-0.04740834457255788,13.850165569780732,460,-3.4228340874852985,-1.5809233239662142,0.44565217391304346,-1574.5036802432373,-0.0737109300528877,0.49189658390093494,27.391212501797742,-1.8972445730438232,44.14991005063482
wti,avg,3,6,1,zero,1654,-2.897244573043823,-2.4213860280227815,0.4709794437726723,-4792.0425238144835,-0.05953827935883642,0.07984141600915406,17.014916307410587,1194,-3.388223487078095,-2.365066055273887,0.457286432160804,-4045.5388435712457,-0.06844490286707308,-0.04740834457255752,13.850165569780732,460,-1.6228340874852996,-0.7495473617062829,0.5065217391304347,-746.5036802432378,-0.034947825939747525,0.4918965839009352,27.39121250179776,-1.8972445730438232,44.14991005063482
wti,avg,3,6,0,hip3_standard,2405,-19.928009490768936,-20.797168196962822,0.22910602910602912,-47926.86282529929,-0.4240788991298895,-0.09626608258731756,18.418449901297127,1478,-20.26190346341107,-16.45695291239826,0.2395128552097429,-29947.09331892156,-0.42806745383693223,0.08478284222405917,16.990049946411343,927,-19.39565211043984,-12.710295002390462,0.21251348435814454,-17979.769506377732,-0.4174608599986872,-0.4003633587195342,20.88639947224496,-0.9280094907689376,42.07515957690229
