universe,family,config,regime,seconds,n_rejections,dev_n,dev_days,dev_net,dev_exp,dev_pf,dev_win,val_n,val_days,val_net,val_exp,val_exp_r,val_pf,val_win,val_ci95,val_p_le0,val_ex_best_trade,val_ex_best_day,val_windows_pos,val_windows_n,val_windows_with_trades,val_net_long,val_net_short,val_n_long,val_n_short,val_cost_share,val_maxdd,val_hold_min,devval_final_equity,devval_shadow_equity,devval_paused,devval_paused_at,devval_exposure,devval_acct_maxdd,trades_file,val_by_sym_net,val_syms_positive
crypto1h,F4,"F4:channel_bo(atr_mult=1.5, n=12, tf=1h)",base,0.9,0,57,52.0,4.534292957116961,0.0795489992476659,1.247989533904237,0.5263157894736842,33,32.0,-2.82644397141453,-0.0856498173155918,-0.0856498173155918,0.7477390670180033,0.3636363636363636,"[-0.35675597881104104, 0.22206504454901232]",0.735,-5.122902041912921,-5.122902041912921,1,5,4,0.92333816379538,-3.749782135209909,15.0,18.0,0.4230133960793726,5.178491495099933,263.6363636363636,101.7078489857024,101.7078489857024,False,,0.0969041026931789,6.179591995139504,F4_channel_bo_47422439_base.parquet,"{'BTC': -2.52, 'ETH': -0.31}",0.0
crypto1h,F4,"F4:channel_bo(atr_mult=1.5, n=24, tf=1h)",base,0.9,0,41,40.0,-0.7607679589596914,-0.0185553160721875,0.9488093503697804,0.4634146341463415,25,25.0,-0.1781470527716375,-0.0071258821108655,-0.0071258821108655,0.9760860674088642,0.36,"[-0.2882394131702832, 0.36515981919040646]",0.545,-2.4746051232700284,-2.4746051232700284,2,5,4,1.1740156089651237,-1.3521626617367613,11.0,14.0,0.3628650600801941,3.871999810928701,280.8,99.06108498826865,99.06108498826865,False,,0.0722376038258243,4.612065590131792,F4_channel_bo_54943884_base.parquet,"{'BTC': 1.75, 'ETH': -1.92}",1.0
crypto1h,B0,B0:baseline_session_long(),base,1.0,44,55,55.0,-1.9431630933272832,-0.035330238060496,0.6181084209403076,0.509090909090909,41,41.0,0.0631321316518847,0.0015398080890703,0.0015398080890703,1.0207866591327253,0.4878048780487805,"[-0.06271980466135563, 0.0629558985321151]",0.465,-0.3274219619702908,-0.3274219619702908,2,5,5,0.0631321316518847,0.0,41.0,0.0,0.2505592304174541,1.3233154501673985,360.0,98.17453744865462,98.17453744865462,False,,0.1457337024918197,2.1643574159597705,B0_baseline_session_long_82262348_base.parquet,{'BTC': 0.06},1.0
crypto1h,F1,"F1:ma_trend(atr_mult=2.0, fast=10, filter=False, slow=40, tf=1h)",adverse,0.8,0,22,21.0,-1.082400731344937,-0.0492000332429516,0.7886788736578285,0.4090909090909091,15,13.0,-2.516796318129781,-0.167786421208652,-0.167786421208652,0.4734893332779425,0.2666666666666666,"[-0.4365596788848853, 0.12141957088121462]",0.857,-3.3341170490202883,-3.3341170490202883,1,5,4,-0.1588500720180117,-2.3579462461117693,7.0,8.0,0.5852392956915775,3.373459806755024,200.0,96.40080295052526,96.40080295052526,False,,0.0337276617165869,4.435570951388257,F1_ma_trend_70241473_adverse.parquet,"{'BTC': 0.48, 'ETH': -3.0}",1.0
crypto1h,F1,"F1:ma_trend(atr_mult=2.0, fast=10, filter=True, slow=40, tf=1h)",adverse,0.7,0,0,,0.0,,,,0,,0.0,,,,,,,,,0,5,0,,,,,,,,,,,,,,,,
crypto1h,F1,"F1:ma_trend(atr_mult=2.0, fast=20, filter=False, slow=80, tf=1h)",adverse,0.9,0,13,13.0,-0.7754584595194896,-0.0596506507322684,0.7850471395994992,0.5384615384615384,8,8.0,-1.2938267640121834,-0.1617283455015229,-0.1617283455015229,0.510126458155477,0.375,"[-0.5337523662502325, 0.24321819989725377]",0.798,-2.1095792993995257,-2.1095792993995257,1,5,3,-0.1876679098398548,-1.1061588541723284,1.0,7.0,0.5507483384939861,2.239530974496413,247.5,97.93071477646832,97.93071477646832,False,,0.0206393153788069,2.3941669851673453,F1_ma_trend_76124726_adverse.parquet,"{'BTC': -2.05, 'ETH': 0.76}",1.0
crypto1h,F1,"F1:ma_trend(atr_mult=2.0, fast=20, filter=True, slow=80, tf=1h)",adverse,0.7,0,0,,0.0,,,,0,,0.0,,,,,,,,,0,5,0,,,,,,,,,,,,,,,,
crypto1h,F2,"F2:bb_mr(k=2.0, max_bars=8, n=20, regime=False, tf=1h)",adverse,1.2,0,44,41.0,-4.464756795439513,-0.101471745350898,0.5654396154821406,0.4545454545454545,24,21.0,-3.74705936163698,-0.1561274734015408,-0.1561274734015408,0.4486193758172765,0.5,"[-0.3476346958291509, 0.022272564499869564]",0.956,-4.336730620212719,-4.505516207999176,1,5,5,-1.9763413347974093,-1.7707180268395708,16.0,8.0,0.9405136698117228,3.74705936163698,147.5,91.78818384292352,91.78818384292352,False,,0.0430405235338535,9.37290738496874,F2_bb_mr_70878520_adverse.parquet,"{'BTC': -2.24, 'ETH': -1.5}",0.0
crypto1h,F2,"F2:bb_mr(k=2.0, max_bars=8, n=20, regime=True, tf=1h)",adverse,1.1,0,18,18.0,0.2245864938871634,0.0124770274381757,1.0810171774770458,0.5555555555555556,14,12.0,-3.8650177434075386,-0.2760726959576813,-0.2760726959576813,0.3587364918431017,0.5,"[-0.5999178214012979, 0.010775800334237966]",0.97,-4.454689001983277,-4.623474589769734,1,5,4,-1.8491234660834277,-2.015894277324111,8.0,6.0,0.7909654522409614,4.623474589769734,120.0,96.35956875047964,96.35956875047964,False,,0.0178706267304304,6.189805167043332,F2_bb_mr_54187015_adverse.parquet,"{'BTC': -1.29, 'ETH': -2.58}",0.0
crypto1h,F2,"F2:bb_mr(k=2.5, max_bars=8, n=20, regime=False, tf=1h)",adverse,1.0,0,33,30.0,-4.476852121737739,-0.1356621855072042,0.5922350316260734,0.4545454545454545,17,16.0,-3.400325332863076,-0.2000191372272397,-0.2000191372272397,0.4143581174466945,0.3529411764705882,"[-0.4336924450024453, 0.025072828758344226]",0.956,-3.959873042343164,-3.959873042343164,0,5,4,-2.3749494477652,-1.0253758850978756,10.0,7.0,0.949443089317916,3.400325332863076,172.94117647058823,92.1228225453992,92.1228225453992,False,,0.0362446513969292,9.819657351060243,F2_bb_mr_53381942_adverse.parquet,"{'BTC': -3.51, 'ETH': 0.11}",1.0
crypto1h,F2,"F2:bb_mr(k=2.5, max_bars=8, n=20, regime=True, tf=1h)",adverse,0.9,0,13,13.0,1.424020379863698,0.1095400292202844,1.7859715986825335,0.6153846153846154,7,7.0,-1.4929762121948302,-0.2132823160278329,-0.2132823160278329,0.475619126078653,0.4285714285714285,"[-0.690982148882657, 0.24132295985948282]",0.824,-2.0525239216749185,-2.0525239216749185,0,5,2,-0.0746825361263483,-1.4182936760684817,3.0,4.0,0.665071589706949,1.9191653536802984,145.71428571428572,99.93104416766886,99.93104416766886,False,,0.0138434432418827,2.503732001537287,F2_bb_mr_65992075_adverse.parquet,"{'BTC': -1.92, 'ETH': 0.43}",1.0
crypto1h,F3,"F3:vol_comp_bo(pct=0.1, tf=1h, trail_atr=2.0)",adverse,1.1,0,11,11.0,0.806073485292071,0.0732794077538246,1.566570775191011,0.6363636363636364,11,11.0,-0.0931125971791152,-0.0084647815617377,-0.0084647815617377,0.9514761390996994,0.5454545454545454,"[-0.3014518175704433, 0.25081294066300547]",0.511,-0.7096158300148939,-0.7096158300148939,1,5,4,0.9381653501978564,-1.0312779473769718,5.0,6.0,0.4755795602625934,1.0086160487899618,256.3636363636364,100.71296088811296,100.71296088811296,False,,0.0251698968034231,1.0086160487899605,F3_vol_comp_bo_36490428_adverse.parquet,"{'BTC': -0.78, 'ETH': 0.68}",1.0
crypto1h,F3,"F3:vol_comp_bo(pct=0.2, tf=1h, trail_atr=2.0)",adverse,1.0,0,15,14.0,-1.355830553202353,-0.0903887035468235,0.6254427978951596,0.4666666666666667,14,13.0,0.6694649516976512,0.0478189251212608,0.0478189251212608,1.2796918761170477,0.5,"[-0.23712748247503637, 0.36541862847616685]",0.37,-0.5677895429342597,-0.5677895429342597,2,5,4,1.7452142175657797,-1.075749265868128,7.0,7.0,0.3477189393544487,1.4388216760539494,270.0,99.31363439849532,99.31363439849532,False,,0.0329725648124842,2.116137526165246,F3_vol_comp_bo_83198970_adverse.parquet,"{'BTC': 0.42, 'ETH': 0.25}",2.0
crypto1h,F4,"F4:channel_bo(atr_mult=1.5, n=12, tf=1h)",adverse,1.0,0,57,52.0,3.253005904869007,0.0570702790327896,1.1777723753011748,0.5087719298245614,33,32.0,-3.5198739600527804,-0.1066628472743266,-0.1066628472743266,0.6866798040575721,0.3636363636363636,"[-0.3668204069470016, 0.18609180761413655]",0.788,-5.685069325658624,-5.685069325658624,1,5,4,0.5378789342066966,-4.057752894259478,15.0,18.0,0.5405110190580398,5.569683000551451,263.6363636363636,99.7331319448162,99.7331319448162,False,,0.0969041026931789,6.550529299351808,F4_channel_bo_47422439_adverse.parquet,"{'BTC': -3.17, 'ETH': -0.35}",0.0
crypto1h,F4,"F4:channel_bo(atr_mult=1.5, n=24, tf=1h)",adverse,0.9,0,41,40.0,-1.6070229182900198,-0.0391956809339029,0.8920064974875147,0.4390243902439024,25,25.0,-0.777224799991806,-0.0310889919996722,-0.0310889919996722,0.8962596539921497,0.36,"[-0.2992115656456862, 0.3242505545743977]",0.6,-2.94242016559765,-2.94242016559765,1,5,4,0.8791489667761826,-1.656373766767988,11.0,14.0,0.4577009414439178,4.052712775793496,280.8,97.61575228171812,97.61575228171812,False,,0.0722376038258243,5.130084656083781,F4_channel_bo_54943884_adverse.parquet,"{'BTC': 1.16, 'ETH': -1.94}",1.0
crypto1h,B0,B0:baseline_session_long(),adverse,0.9,48,53,53.0,-1.9279010176488467,-0.0363754908990348,0.6089194841903534,0.5094339622641509,41,41.0,-0.0974717874260916,-0.002377360668929,-0.002377360668929,0.968353381060686,0.4878048780487805,"[-0.06539058936029965, 0.05886065144656845]",0.511,-0.479064014260588,-0.479064014260588,2,5,5,-0.0974717874260916,0.0,41.0,0.0,0.307414482307591,1.3531652528779792,360.0,98.0255899553492,98.0255899553492,False,,0.142713314875409,2.140512301464156,B0_baseline_session_long_82262348_adverse.parquet,{'BTC': -0.1},0.0
